JUDET,UAT,COD SIRUTA,NR. Birou electoral,Nr SV,Sediu SV,Adresa SV,Adresa SV descriptivă,Localitate componentă / Sat aparţinător,Cod Arteră,Arteră,Număr imobil / Alfabetic,Observaţii
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62745,Drumul Nădlac,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59502,Strada Nicolae Nicoleanu (Strada Poet Nicolae Nicoleanu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59567,Şoseaua Odăi,numere impare nr. 135 -491# nr. 491-493 -491-493#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62744,Drumul Ohaba,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62740,Drumul Paroşeni,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62376,Aleea Păpuşa,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59843,Bulevardul Petrila,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,10,ŞCOALA GIMNAZIALĂ NR.13,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Petrila , Nr. 10 - 12",Bld - PETRILA - 10-12; CP 013582,BUCUREŞTI SECTORUL 1,56261,Strada Aiud,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59881,Strada Pietroşiţa,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62678,Drumul Piscu Enei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62736,Drumul Piscul Rusului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62735,Drumul Piscul Sadului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62739,Drumul Piscul Stejarului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62240,Drumul Piscu Lung,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62241,Drumul Piscu Mare,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62679,Drumul Piscu Moşului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62680,Drumul Piscu Muntelui,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62242,Drumul Piscu Nou,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62243,Drumul Piscu Pietrei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62244,Drumul Piscu Radului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62626,Drumul Piscu Reghiului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62245,Drumul Piscu Sadovei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62246,Drumul Piscu Scoarţei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62247,Drumul Piscu Vechi,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60292,Strada Redea,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60472,Strada Salva,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62631,Drumul Sărmaş,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60508,Strada Săveni,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61142,Intrarea Tribunei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62737,Drumul Vârful Berivoiul Mare,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62738,Drumul Vârful Pleşiţa,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61349,Strada Verbinelor,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,11,ŞCOALA GIMNAZIALĂ NR.13,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Petrila , Nr. 10-12",Bld - PETRILA - 10-12; CP 013582,BUCUREŞTI SECTORUL 1,56920,Şoseaua Bucureşti-Târgovişte (Şoseaua Bucureşti-Tîrgovişte),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56984,Strada Buziaş,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,12,ŞCOALA GIMNAZIALĂ NR.13,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Petrila , Nr. 10-12",Bld - PETRILA - 10-12; CP 013582,BUCUREŞTI SECTORUL 1,56283,Strada Aldeni,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62629,Drumul Arieş,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62630,Drumul Cavnic,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57533,Strada Cotnari,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57641,Strada Curtişoara,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57696,Strada Dealul Negru,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57783,Strada Dirijorului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58853,Strada Lemnarilor,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60250,Strada Rămurele,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,13,ŞCOALA GIMNAZIALĂ NR.179,"Loc. BUCUREŞTI SECTORUL 1,  Strada Ardealului , Nr. 34",Str - ARDEALULUI - 34; CP 013435,BUCUREŞTI SECTORUL 1,56879,Strada Brânarul (Strada Brînarul),numere impare nr. 35 -501# numere pare nr. 46 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57931,Strada Durău,numere impare nr. 1 -113# numere pare nr. 2 -104#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57998,Strada Episcopul Vulcan (Strada Episcop Vulcan),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61500,Strada Episcopul Vulcan (Strada Episcop Vulcan) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,14,ŞCOALA GIMNAZIALĂ NR.179,"Loc. BUCUREŞTI SECTORUL 1,  Strada Ardealului , Nr. 34",Str - ARDEALULUI - 34; CP 013435,BUCUREŞTI SECTORUL 1,58029,Strada Fabrica de Cărămidă,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58736,Strada Jimbolia,numere impare nr. 1 -105# numere pare nr. 2 -98#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59198,Strada Miercani,numere impare nr. 1 -109# numere pare nr. 2 -84#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59283,Strada Mitropolitul Varlaam (Strada Mitropolit Varlaam),numere impare nr. 1 -111# numere pare nr. 2 -108#,
B,BUCUREŞTI SECTORUL 1,179141,42,15,ŞCOALA GIMNAZIALĂ NR.179,"Loc. BUCUREŞTI SECTORUL 1,  Strada Ardealului , Nr. 34",Str - ARDEALULUI - 34; CP 013435,BUCUREŞTI SECTORUL 1,56352,Strada Aninoasa,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56407,Strada Ardealului,numere impare nr. 1 -39# nr. 41 -501# numere pare nr. 2 -52# nr. 54 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56543,Strada Aurel Băeşu (Strada Pictor Aurel Băeşu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56531,Strada Baia,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59281,Strada Mitropolitul Andrei Şaguna (Strada Mitropolit Andrei Şaguna),numere impare nr. 1 -95# numere pare nr. 2 -110#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60354,Strada Rodului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,16,ŞCOALA GIMNAZIALĂ NR.179,"Loc. BUCUREŞTI SECTORUL 1,  Strada Ardealului , Nr. 34",Str - ARDEALULUI - 34; CP 013435,BUCUREŞTI SECTORUL 1,56714,Strada Bârlogeni (Strada Bîrlogeni),numere impare nr. 1 -29# numere pare nr. 2 -32#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56685,Strada Berveni,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56879,Strada Brânarul (Strada Brînarul),numere impare nr. 1 -33# numere pare nr. 2 -44#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57752,Strada Diaconu Coresi,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57907,Strada Duetului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,17,ŞCOALA GIMNAZIALĂ NR.179,"Loc. BUCUREŞTI SECTORUL 1,  Strada Ardealului , Nr. 34",Str - ARDEALULUI - 34; CP 013435,BUCUREŞTI SECTORUL 1,59044,Strada Măicăneşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59683,Strada Palisandrului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59694,Strada Panciu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59956,Strada Plutaşilor,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60802,Strada Stănileşti (Strada Stănilaşti),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,18,LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Pajurei , Nr. 9",Str - PAJUREI - 9; CP 013152,BUCUREŞTI SECTORUL 1,58538,Aleea Hrisovului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58539,Strada Hrisovului,numere impare nr. 1 -5# nr. 11 -19# nr. 25 -29# numere pare nr. 2 -18#,
