JUDET,UAT,COD SIRUTA,NR. Birou electoral,Nr SV,Sediu SV,Adresa SV,Adresa SV descriptivă,Localitate componentă / Sat aparţinător,Cod Arteră,Arteră,Număr imobil / Alfabetic,Observaţii
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60079,Aleea Postăvarul,numere impare nr. 1 -23# numere pare nr. 2 -4A#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60137,Strada Prisaca Dornei,numere impare nr. 1 -11# numere pare nr. 10 -16#,
B,BUCUREŞTI SECTORUL 3,179169,42,564,ŞCOALA GIMNAZIALĂ Nr.200;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Postăvarul , Nr. 13",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere pare nr. 50 -60#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57387,Strada Codrii Neamţului,numere impare nr. 1 -9#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62071,Bulevardul Nicolae Grigorescu (Bulevardul Pictor Nicolae Grigorescu),numere impare nr. 41 -47#,
B,BUCUREŞTI SECTORUL 3,179169,42,565,ŞCOALA GIMNAZIALĂ Nr.200;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Postăvarul , Nr. 13",,BUCUREŞTI SECTORUL 3,58863,Aleea Leorda,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62046,Aleea Onisifor Ghibu (Aleea Prof. Onisifor Ghibu),numere impare nr. 1 -3# numere pare nr. 2 -4#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60080,Strada Postăvarul,numere impare nr. 17 -23# numere pare nr. 2 -100#,
B,BUCUREŞTI SECTORUL 3,179169,42,566,ŞCOALA GIMNAZIALĂ Nr.200;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Postăvarul , Nr. 13",,BUCUREŞTI SECTORUL 3,62046,Aleea Onisifor Ghibu (Aleea Prof. Onisifor Ghibu),numere impare nr. 5 -11# numere pare nr. 6 -16#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61164,Aleea Sold. Tudor Ion (Aleea Sold. Ion Tudor),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61165,Strada Sold. Tudor Ion (Strada Sold. Ion Tudor),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,567,ŞCOALA GIMNAZIALĂ Nr.200;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Postăvarul , Nr. 13",,BUCUREŞTI SECTORUL 3,57387,Strada Codrii Neamţului,numere impare nr. 11 -13 A#,
B,BUCUREŞTI SECTORUL 3,179169,42,568,ŞCOALA GIMNAZIALĂ Nr.200;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Postăvarul , Nr. 13",,BUCUREŞTI SECTORUL 3,57386,Aleea Codrii Neamţului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57387,Strada Codrii Neamţului,numere pare nr. 2 -14#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60079,Aleea Postăvarul,numere pare nr. 6 -24#,
B,BUCUREŞTI SECTORUL 3,179169,42,569,ŞCOALA GIMNAZIALĂ ”FEDERICO GARCIA LORCA”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Cozla , Nr. 1",,BUCUREŞTI SECTORUL 3,60137,Strada Prisaca Dornei,numere pare nr. 2 -8 F#,
B,BUCUREŞTI SECTORUL 3,179169,42,570,ŞCOALA GIMNAZIALĂ ”FEDERICO GARCIA LORCA”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Cozla , Nr. 1",,BUCUREŞTI SECTORUL 3,56953,Strada Burdujeni,numere impare nr. 1 -3 A# numere pare nr. 2 -20#,
B,BUCUREŞTI SECTORUL 3,179169,42,571,ŞCOALA GIMNAZIALĂ ”FEDERICO GARCIA LORCA”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Cozla , Nr. 1",,BUCUREŞTI SECTORUL 3,56953,Strada Burdujeni,numere impare nr. 5 -7#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57543,Strada Cozla,numere impare nr. 1 -5#,
B,BUCUREŞTI SECTORUL 3,179169,42,572,ŞCOALA GIMNAZIALĂ ”FEDERICO GARCIA LORCA”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Cozla , Nr. 1",,BUCUREŞTI SECTORUL 3,56223,Aleea Adjud,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62395,Aleea Calistrat Hogaş,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57543,Strada Cozla,numere pare nr. 2 -10 A#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62394,Aleea Ion Agârbiceanu (Aleea Ion Agîrbiceanu),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,573,ŞCOALA GIMNAZIALĂ ”FEDERICO GARCIA LORCA”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Cozla , Nr. 1",,BUCUREŞTI SECTORUL 3,60458,Bulevardul Pictor Nicolae Grigorescu (Bulevardul Leontin Sălăjan) (D),numere impare nr. 33 -39#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60284,Strada Liviu Rebreanu,numere pare nr. 18 -30 F#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62071,Bulevardul Nicolae Grigorescu (Bulevardul Pictor Nicolae Grigorescu),numere impare nr. 33 -39#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61555,Aleea Zăvideni,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,574,ŞCOALA GIMNAZIALĂ ”FEDERICO GARCIA LORCA”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Cozla , Nr. 1",,BUCUREŞTI SECTORUL 3,60284,Strada Liviu Rebreanu,numere impare nr. 17 -27# numere pare nr. 12 -16#,
B,BUCUREŞTI SECTORUL 3,179169,42,575,ŞCOALA GIMNAZIALĂ ”FEDERICO GARCIA LORCA”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Cozla , Nr. 1",,BUCUREŞTI SECTORUL 3,60284,Strada Liviu Rebreanu,numere impare nr. 29 -35 A#,
B,BUCUREŞTI SECTORUL 3,179169,42,576,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere impare nr. 1 -11# nr. 29 -29 G#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,58770,Aleea Lăceni,numere impare nr. 1 -11#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60246,Strada Rampei,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60267,Strada Răşinari,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,577,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere impare nr. 21 -27E#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,58770,Aleea Lăceni,numere impare nr. 13 -15#,
B,BUCUREŞTI SECTORUL 3,179169,42,578,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,60284,Strada Liviu Rebreanu,numere pare nr. 32 -64#,
B,BUCUREŞTI SECTORUL 3,179169,42,579,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere impare nr. 15 -17#,
B,BUCUREŞTI SECTORUL 3,179169,42,580,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere pare nr. 24 -42#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,56854,Strada Brăţării,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57873,Strada Dregătorului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60794,Strada Frt. Stan Constantin (Strada Frt. Constantin Stan),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,59835,Strada Sg. Petre Petre,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60988,Strada Tehnicii,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,581,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,nr. 13# nr. 19#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,56607,Aleea Barajul Bistriţei (Aleea Barajul Bistriţa),numere impare nr. 1 -5# numere pare nr. 2 -8#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,56498,Strada Băbeni,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,59941,Strada Pleşeşti,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60683,Strada Sinteşti,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60772,Strada Spieşti,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,582,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,56607,Aleea Barajul Bistriţei (Aleea Barajul Bistriţa),numere impare nr. 7 -49# numere pare nr. 10 -16#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61619,Aleea Cioplea,numere pare nr. 2 -8#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60740,Aleea Solidarităţii,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,583,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,56487,Strada Avuţiei,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61619,Aleea Cioplea,numere impare nr. 1 -5#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60284,Strada Liviu Rebreanu,numere impare nr. 37 -65#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60464,Strada Sălcioarei,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60896,Strada Succesului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,584,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere pare nr. 14 -22#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62014,Aleea Vasile Goldiş (Aleea Blocurilor),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,585,ŞCOALA GIMNAZIALĂ NR. 22;,"Loc. BUCUREŞTI SECTORUL 3,  Bulevardul 1 Decembrie 1918 , Nr. 34",,BUCUREŞTI SECTORUL 3,59078,Aleea Barajul Rovinari,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,586,LICEUL TEORETIC ”AL. I. CUZA”;,"Loc. BUCUREŞTI SECTORUL 3,  Aleea Barajul Dunării , Nr. 5",,BUCUREŞTI SECTORUL 3,56610,Aleea Barajul Sadului,nr. 1#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60284,Strada Liviu Rebreanu,numere impare nr. 13 -15#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62071,Bulevardul Nicolae Grigorescu (Bulevardul Pictor Nicolae Grigorescu),numere impare nr. 31 -31A#,
B,BUCUREŞTI SECTORUL 3,179169,42,587,LICEUL TEORETIC ”AL. I. CUZA”;,"Loc. BUCUREŞTI SECTORUL 3,  Aleea Barajul Dunării , Nr. 5",,BUCUREŞTI SECTORUL 3,57916,Aleea Barajul Lotru,numere pare nr. 2 -12#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62071,Bulevardul Nicolae Grigorescu (Bulevardul Pictor Nicolae Grigorescu),numere impare nr. 25 -29 C#,
B,BUCUREŞTI SECTORUL 3,179169,42,588,LICEUL TEORETIC ”AL. I. CUZA”;,"Loc. BUCUREŞTI SECTORUL 3,  Aleea Barajul Dunării , Nr. 5",,BUCUREŞTI SECTORUL 3,56609,Aleea Barajul Dunării,numere pare nr. 2 -18#,
B,BUCUREŞTI SECTORUL 3,179169,42,589,LICEUL TEORETIC ”AL. I. CUZA”;,"Loc. BUCUREŞTI SECTORUL 3,  Aleea Barajul Dunării , Nr. 5",,BUCUREŞTI SECTORUL 3,56609,Aleea Barajul Dunării,numere impare nr. 1 -9#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,56610,Aleea Barajul Sadului,numere pare nr. 2 -4#,
B,BUCUREŞTI SECTORUL 3,179169,42,590,LICEUL TEORETIC ”AL. I. CUZA”;,"Loc. BUCUREŞTI SECTORUL 3,  Aleea Barajul Dunării , Nr. 5",,BUCUREŞTI SECTORUL 3,56610,Aleea Barajul Sadului,numere impare nr. 3 -9#,
B,BUCUREŞTI SECTORUL 3,179169,42,591,LICEUL TEORETIC ”AL. I. CUZA”;,"Loc. BUCUREŞTI SECTORUL 3,  Aleea Barajul Dunării , Nr. 5",,BUCUREŞTI SECTORUL 3,56608,Aleea Barajul Cucuteni,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57916,Aleea Barajul Lotru,numere impare nr. 1 -11#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62071,Bulevardul Nicolae Grigorescu (Bulevardul Pictor Nicolae Grigorescu),numere impare nr. 21 -23#,
B,BUCUREŞTI SECTORUL 3,179169,42,592,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,61660,Strada Lucreţiu Pătrăşcanu (Strada Bîrsei),numere impare nr. 9 -19# numere pare nr. 2 -4#,
B,BUCUREŞTI SECTORUL 3,179169,42,593,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,61660,Strada Lucreţiu Pătrăşcanu (Strada Bîrsei),numere impare nr. 1 -7#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,59374,Intrarea Muncii,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61662,Aleea Pleniţa,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,594,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,56606,Aleea Barajul Bicaz,numere impare nr. 11 -11 C# numere pare nr. 2 -18#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61082,Intrarea Titan,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,595,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere pare nr. 4 -12#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,56611,Aleea Barajul Uzului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,596,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,56606,Aleea Barajul Bicaz,numere impare nr. 1 -9#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57515,Aleea Barajul Iezeru,numere pare nr. 2 -6#,
B,BUCUREŞTI SECTORUL 3,179169,42,597,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,nr. 2#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57515,Aleea Barajul Iezeru,numere impare nr. 1 -5#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62158,Bulevardul Basarabia (Bulevardul Muncii),numere pare nr. 238 -256#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61660,Strada Lucreţiu Pătrăşcanu (Strada Bîrsei),numere pare nr. 6 -18#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,59373,Bulevardul Basarabia (Bulevardul Muncii) (D),numere pare nr. 240 -300#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61975,Aleea Textiliştilor,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,598,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,56721,Intrarea Bârsei (Intrarea Bîrsei),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,599,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,58530,Intrarea Horbotei,numere impare nr. 1 -3#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60458,Bulevardul Pictor Nicolae Grigorescu (Bulevardul Leontin Sălăjan) (D),numere impare nr. 1 -19#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62071,Bulevardul Nicolae Grigorescu (Bulevardul Pictor Nicolae Grigorescu),numere impare nr. 1 -19#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,61690,Aleea Sibiana,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,600,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,56903,Aleea Buchetului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,59212,Aleea Budacu,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,58530,Intrarea Horbotei,numere pare nr. 2 -12#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62463,Strada Războieni,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60279,Strada Războieni (D),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,601,LICEUL TEORETIC ”NICHITA STĂNESCU”;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Lucreţiu Pătrăşcanu (Strada Bîrsei) , Nr. 12",,BUCUREŞTI SECTORUL 3,56521,Intrarea Bădeni,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,602,ŞCOALA GIMNAZIALĂ Nr.149;,"Loc. BUCUREŞTI SECTORUL 3,  Aleea Perişoru , Nr. 4",,BUCUREŞTI SECTORUL 3,62075,Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea),numere impare nr. 1 -9# numere pare nr. 2 -20#,
B,BUCUREŞTI SECTORUL 3,179169,42,603,ŞCOALA GIMNAZIALĂ Nr.149;,"Loc. BUCUREŞTI SECTORUL 3,  Aleea Perişoru , Nr. 4",,BUCUREŞTI SECTORUL 3,62633,Strada Balta Albina,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62634,Drumul Balta Arin,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62635,Drumul Balta Doamnei,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62636,Drumul Balta Plopului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,60109,Aleea Perişoru,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62399,Strada Victor Brauner,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,604,ŞCOALA GIMNAZIALĂ Nr.149;,"Loc. BUCUREŞTI SECTORUL 3,  Aleea Perişoru , Nr. 4",,BUCUREŞTI SECTORUL 3,57150,Strada Ceairului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,59799,Strada Sg. Dumitru Pene (Aleea Sg. Dumitru Pene),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62074,Bulevardul Theodor Pallady (Bulevardul Chimiştilor),numere impare nr. 29 -99#,
B,BUCUREŞTI SECTORUL 3,179169,42,605,ŞCOALA GIMNAZIALĂ Nr. 82;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea) , Nr. 17",,BUCUREŞTI SECTORUL 3,62281,Drumul Gura Putnei,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,22173,Aleea Pictor B”Arg,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,606,ŞCOALA GIMNAZIALĂ Nr. 82;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea) , Nr. 17",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere impare nr. 37 -41#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57266,Strada Câmpineanca (Strada Cîmpineanca),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57325,Strada Ciucea,numere pare nr. 2 -4#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62017,Aleea Iosif Hodoş (Aleea Buciumului),integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,607,ŞCOALA GIMNAZIALĂ Nr. 82;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea) , Nr. 17",,BUCUREŞTI SECTORUL 3,57324,Aleea Ciucea,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62075,Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea),numere impare nr. 17 -25#,
B,BUCUREŞTI SECTORUL 3,179169,42,608,ŞCOALA GIMNAZIALĂ Nr. 82;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea) , Nr. 17",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere impare nr. 31 -35#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,57325,Strada Ciucea,numere impare nr. 1 -3#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,56279,Strada Col. Iosif Albu,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,609,ŞCOALA GIMNAZIALĂ Nr. 82;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea) , Nr. 17",,BUCUREŞTI SECTORUL 3,59003,Bulevardul 1 Decembrie 1918,numere impare nr. 43 -47#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,58083,Strada Feteşti,numere pare nr. 2 -6#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62075,Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea),numere impare nr. 11 -15#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,58900,Aleea Lipăneşti,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,610,ŞCOALA GIMNAZIALĂ Nr. 82;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea) , Nr. 17",,BUCUREŞTI SECTORUL 3,58082,Aleea Feteşti,numere impare nr. 1 -23#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,58083,Strada Feteşti,numere pare nr. 8 -56 A#,
B,BUCUREŞTI SECTORUL 3,179169,42,611,ŞCOALA GIMNAZIALĂ Nr. 82;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea) , Nr. 17",,BUCUREŞTI SECTORUL 3,57325,Strada Ciucea,numere pare nr. 6 -8# nr. 5# nr. 7#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,58083,Strada Feteşti,numere impare nr. 1 -17#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62075,Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea),nr. 22#,
B,BUCUREŞTI SECTORUL 3,179169,42,612,ŞCOALA GIMNAZIALĂ Nr. 82;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea) , Nr. 17",,BUCUREŞTI SECTORUL 3,62283,Drumul Gura Siriului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62075,Strada Jean-Alexandru Steriadi (Intrarea Ion Şulea),numere impare nr. 27 -91# numere pare nr. 50 -54#,
B,BUCUREŞTI SECTORUL 3,179169,42,613,ŞCOALA GIMNAZIALĂ Nr.116;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Gura Ialomiţei , Nr. 20",,BUCUREŞTI SECTORUL 3,61639,Aleea Giurgeni,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62276,Drumul Gura Arieşului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62277,Drumul Gura Bădicului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62438,Drumul Gura Gârliţei,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62439,Drumul Gura Sărăţii,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62440,Drumul Gura Solcii,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62441,Drumul Gura Vlădesei,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,614,ŞCOALA GIMNAZIALĂ Nr.116;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Gura Ialomiţei , Nr. 20",,BUCUREŞTI SECTORUL 3,62278,Drumul Gura Caliţei,numere pare nr. 4 -32#,
B,BUCUREŞTI SECTORUL 3,179169,42,615,ŞCOALA GIMNAZIALĂ Nr.116;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Gura Ialomiţei , Nr. 20",,BUCUREŞTI SECTORUL 3,61874,Aleea Buhuşi,numere impare nr. 3 -7#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62279,Drumul Gura Crivăţului,integral#,
B,BUCUREŞTI SECTORUL 3,179169,42,616,ŞCOALA GIMNAZIALĂ Nr.116;,"Loc. BUCUREŞTI SECTORUL 3,  Strada Gura Ialomiţei , Nr. 20",,BUCUREŞTI SECTORUL 3,61874,Aleea Buhuşi,nr. 2#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,56932,Strada Buhuşi,nr. 2#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,58082,Aleea Feteşti,numere pare nr. 2 -12#,
B,BUCUREŞTI SECTORUL 3,179169,42,,,,,,62284,Drumul Gura Călmăţui,integral#,
